keys,median,count,std,CI,quantity
AR1to1d,0.9194719535592574,35,1.152759836614562,0.39598685859752314,sigma_x_CM [mN/m]
AR1to1s,3.21231893344173,15,1.4825966708892868,0.8210346699236748,sigma_x_CM [mN/m]
AR1to1d,0.1489732314526749,35,0.27558345803987433,0.09466623000254662,RSI_y
AR1to1s,0.06864110683213553,15,0.23392900536865166,0.12954556520973523,RSI_y
AR1to1d,103.8575349520564,35,109.6783570873774,37.67583385513949,b [um]
AR1to1s,40.35928751849933,15,11.303920255970986,6.2599023850753905,b [um]
AR1to1d,0.041669534933986396,35,0.210559563049891,0.07232974056821873,RSI_x
AR1to1s,0.43642175672444417,15,0.5513150613878756,0.30530810458318275,RSI_x
AR1to1d,61.94592253589521,35,114.11120351568326,39.19856988048993,a [um]
AR1to1s,53.862687362232215,15,14.926498221368796,8.266019195191493,a [um]
AR1to1d,1.1187514029663415,35,0.8619278839599073,0.29608258742711185,sigma_y_CM [mN/m]
AR1to1s,0.8905270963541347,15,0.74846123677506,0.41448401750267094,sigma_y_CM [mN/m]
AR1to1d,102.69293373872952,35,36.69072221922229,12.603704058542878,line tension [nN]
AR1to1s,145.62178238043512,15,63.12884787496872,34.959590693399925,line tension [nN]
